Age,Gender,Education level,Living area,Family type,Grown up by,Living with family,Residency,Economic status,Relationship between father & mother,Relationship with family,Following regular routine,Addicted person in family,Declining health,Alexithymia,Getting excessive money than needed,Victim of physical/mental torture,Depressed,Surrounding environment & companions,Have an drug peddler friend,Target to rich overnight,Staying out all night,Having focus on study,Habit of telling lie,Aggressive nature,Habit of fighting,Usage rate of cellphone,Visits & watches prohibited sites,Smoking habit,Stealing money,Commit crime
15,male,after S.S.C,city,nuclear family,maid servant,yes,home,upper,bad,bad,no,yes,yes,no,yes,no,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,no,yes
16,female,after S.S.C,city,broken family,maid servant,yes,home,upper,bad,good,somehow,no,yes,yes,no,yes,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,average,no,yes,no,yes
16,female,never went to school,city,nuclear family,guardian,yes,home,middle,good,good,yes,no,no,no,no,no,yes,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,yes,yes,extreme,no,no,no,no
15,male,high school,village,broken family,maid servant,no,home,upper,bad,good,yes,no,yes,no,yes,no,yes,bad,no,no,spending time by taking drugs,no,yes,yes,yes,average,no,yes,yes,yes
13,male,high school,city,no family,none,no,slum,lower,bad,no relation,somehow,no,no,yes,no,no,yes,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,no,no,average,no,no,no,no
13,male,high school,village,nuclear family,guardian,yes,home,middle,good,bad,yes,yes,yes,yes,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,no,no,no,no,doesn't use,no,no,no,no
15,male,high school,city,nuclear family,none,no,home,upper,good,no relation,yes,no,yes,yes,no,no,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,no,extreme,yes,yes,no,yes
16,male,college,city,joint family,guardian,yes,home,middle,good,good,no,no,no,no,yes,no,yes,good,no,no,spending time by taking drugs,yes,no,no,no,average,no,no,no,no
16,male,after S.S.C,city,nuclear family,maid servant,no,home,middle,good,good,yes,no,no,no,yes,no,no,good,no,no,by playing/watching tv/travelling with family & friends,no,yes,no,no,average,no,yes,no,no
15,male,never went to school,city,joint family,none,no,homeless (rail-station/ roadside),working,no relation,no relation,somehow,no,no,no,yes,no,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,doesn't use,yes,yes,yes,yes
15,male,after S.S.C,city,broken family,guardian,no,home,upper,bad,good,yes,yes,yes,yes,yes,no,no,bad,no,no,spending time by taking drugs,no,yes,yes,yes,extreme,no,yes,yes,yes
14,male,never went to school,village,joint family,guardian,yes,home,lower,bad,bad,somehow,no,no,no,no,yes,yes,bad,no,no,by playing/watching tv/travelling with family & friends,no,yes,yes,yes,doesn't use,no,yes,no,no
16,male,college,city,nuclear family,guardian,no,home,middle,good,good,no,yes,yes,no,yes,no,no,bad,yes,no,spending time by taking drugs,yes,no,yes,yes,average,no,yes,no,yes
15,female,high school,city,nuclear family,guardian,yes,home,upper,good,bad,yes,no,yes,no,yes,no,yes,bad,no,no,spending time by taking drugs,no,yes,yes,no,average,yes,yes,yes,yes
16,male,never went to school,city,nuclear family,none,no,home,lower,good,bad,somehow,yes,no,yes,no,no,yes,bad,no,yes,spending time by taking drugs,no,yes,yes,yes,average,yes,yes,yes,yes
15,male,after S.S.C,city,nuclear family,guardian,yes,home,upper,good,no relation,no,no,yes,no,no,yes,yes,bad,no,no,by playing/watching tv/travelling with family & friends,no,yes,yes,yes,extreme,yes,yes,no,no
15,male,high school,city,joint family,guardian,yes,home,middle,good,bad,no,yes,no,yes,yes,yes,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,yes
17,male,college,city,nuclear family,guardian,yes,home,middle,bad,bad,no,no,yes,no,no,yes,yes,bad,no,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,yes
14,female,high school,city,nuclear family,maid servant,yes,home,upper,bad,bad,somehow,yes,yes,no,yes,no,no,bad,yes,yes,spending time by taking drugs,no,no,yes,yes,extreme,yes,yes,no,yes
13,male,never went to school,city,no family,none,no,homeless (rail-station/ roadside),working,no relation,no relation,somehow,no,no,no,yes,no,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,average,yes,yes,yes,yes
18,male,after S.S.C,city,broken family,none,no,home,middle,good,good,yes,no,yes,yes,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,no,no,extreme,yes,no,no,no
17,male,college,city,broken family,maid servant,yes,home,upper,bad,bad,yes,yes,yes,yes,yes,yes,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,average,yes,yes,yes,yes
16,male,high school,village,joint family,guardian,yes,home,lower,good,good,yes,no,no,no,no,no,no,bad,no,no,by playing/watching tv/travelling with family & friends,no,yes,yes,yes,doesn't use,no,yes,no,no
18,male,college,village,broken family,guardian,yes,home,middle,no relation,no relation,somehow,yes,yes,no,no,yes,no,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,average,no,yes,yes,yes
15,male,high school,city,broken family,none,yes,home,upper,bad,bad,no,no,yes,no,yes,no,no,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,no
15,male,high school,city,nuclear family,maid servant,yes,home,upper,bad,good,yes,no,yes,yes,yes,no,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,extreme,no,yes,no,yes
16,male,never went to school,city,no family,none,yes,slum,lower,good,bad,somehow,no,yes,no,no,no,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,yes
18,female,never went to school,village,nuclear family,guardian,yes,home,middle,good,good,yes,no,no,yes,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,no,no,average,no,no,no,no
18,female,college,city,nuclear family,guardian,yes,home,middle,good,good,yes,no,no,yes,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,yes,no,average,no,no,no,no
15,female,after S.S.C,city,nuclear family,guardian,no,home,middle,good,good,yes,no,yes,no,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,no,yes,average,yes,no,no,no
16,female,after S.S.C,city,nuclear family,guardian,yes,home,upper,good,good,no,no,no,yes,yes,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,yes,no,no,extreme,no,no,no,no
18,male,after S.S.C,city,nuclear family,guardian,yes,home,upper,good,good,yes,no,yes,no,no,no,no,good,no,yes,by playing/watching tv/travelling with family & friends,no,no,yes,no,average,no,yes,no,no
15,female,after S.S.C,city,joint family,guardian,yes,home,middle,good,good,yes,no,yes,yes,no,yes,yes,good,no,no,by playing/watching tv/travelling with family & friends,no,yes,yes,yes,extreme,no,no,no,no
17,female,after S.S.C,city,nuclear family,guardian,yes,home,middle,good,good,no,no,no,no,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,no,no,average,yes,no,no,no
16,male,never went to school,city,nuclear family,guardian,no,slum,working,good,bad,somehow,no,yes,no,no,no,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,no,yes
15,male,high school,city,nuclear family,guardian,no,slum,lower,bad,no relation,somehow,yes,yes,yes,no,no,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,average,yes,yes,yes,yes
15,female,after S.S.C,city,nuclear family,guardian,yes,home,upper,bad,bad,yes,no,yes,no,yes,yes,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,average,yes,yes,no,no
16,male,after S.S.C,city,broken family,maid servant,yes,home,upper,no relation,bad,no,no,yes,yes,yes,no,yes,bad,no,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,no,yes
16,male,after S.S.C,city,broken family,guardian,yes,home,upper,bad,good,yes,yes,yes,no,yes,no,no,bad,no,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,yes
15,male,high school,city,nuclear family,maid servant,yes,home,upper,bad,bad,somehow,yes,yes,yes,no,yes,yes,bad,yes,yes,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,yes
15,female,after S.S.C,village,nuclear family,guardian,yes,home,middle,good,good,yes,no,yes,no,no,no,no,good,no,no,by playing/watching tv/travelling with family & friends,yes,no,no,no,extreme,no,no,no,no
14,female,high school,city,broken family,maid servant,yes,home,upper,no relation,bad,no,yes,no,no,yes,no,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,no,yes
18,male,college,city,broken family,maid servant,yes,home,upper,bad,bad,somehow,yes,yes,no,yes,yes,yes,bad,yes,no,spending time by taking drugs,no,yes,yes,yes,extreme,yes,yes,yes,yes
16,male,high school,village,nuclear family,guardian,yes,home,middle,good,good,yes,no,yes,yes,yes,no,yes,good,no,yes,spending time by taking drugs,yes,no,no,no,average,yes,no,yes,no
